author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
МИЭЛЬ - Офис в Железнодорожном;real_estate_agent;https://www.cian.ru/sale/flat/304793567/;Москва;sale;flat;3;5;5;120.8;39500000;-1;-1;-1;-1;-1;88,8 м²;10,5 м²;+79623649792;Красносельский;Ананьевский переулок;4/2С1;Сухаревская;
КОРТРОС;developer;https://www.cian.ru/sale/flat/307731200/;Москва;sale;flat;40;49;5;206.56;206560000;2027;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;97,6 м²;-1;+74951387167;Марьина роща; Веткина;2С8;Марьина Роща;TATE 
Винидиктов и Партнеры;real_estate_agent;https://www.cian.ru/sale/flat/305287966/;Москва;sale;flat;5;11;5;219.4;330000000;2014;-1;-1;-1;-1;-1;60 м²;+79151960808;Хамовники;Погодинская ;4;Фрунзенская;GRAND DELUXE на Плющихе
Зульфия  Галяутдинова;realtor;https://www.cian.ru/sale/flat/306591421/;Москва;sale;flat;5;5;5;85.0;19000000;-1;-1;-1;-1;-1;58,4 м²;7,5 м²;+79067203877;Соколиная гора; Семеновский Вал;10К2;Семёновская;
Sminex;developer;https://www.cian.ru/sale/flat/293713787/;Москва;sale;flat;12;14;5;227.4;834760000;2024;-1;Монолитный;-1;Без отделки;85,7 м²;55,1 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/291161835/;Москва;sale;flat;27;31;5;212.0;115000000;2008;-1;-1;-1;-1;-1;20 м²;+79852921995;Очаково-Матвеевское;Нежинская ;1к1;Давыдково;Кутузовская Ривьера
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308385488/;Москва;sale;flat;7;7;5;260.0;197000000;1914;-1;-1;-1;-1;180 м²;10 м²;+79660584715;Хамовники; Остоженка;5;Кропоткинская;
Hutton Development;developer;https://www.cian.ru/sale/flat/303616466/;Москва;sale;flat;3;6;5;236.7;497070000;2026;-1;-1;-1;Без отделки;-1;-1;+74951379715;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
ID 112609323;realtor;https://www.cian.ru/sale/flat/299517098/;Москва;sale;flat;6;6;5;310.15;325657500;2023;-1;-1;-1;-1;196,9 м²;22,7 м²;+79645657158;Хамовники;Зубовская ;7;Парк Культуры;Roza Rossa
ID 123430241;homeowner;https://www.cian.ru/sale/flat/308768346/;Москва;sale;flat;6;9;5;172.1;135000000;2005;-1;-1;-1;-1;113,5 м²;12,6 м²;+79660608291;Раменки;Мичуринский проспект;7К1;Ломоносовский проспект;Квартал Шуваловский
Capital Group;developer;https://www.cian.ru/sale/flat/297314514/;Москва;sale;flat;59;67;5;163.3;165259600;2023;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;133,8 м²;24,5 м²;+74951387140;Пресненский;Краснопресненская набережная;14Ак3;Москва-Сити;Capital Towers
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/309039966/;Москва;sale;flat;57;76;5;303.4;260000000;2008;-1;-1;-1;-1;-1;-1;+79163067184;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/306881657/;Москва;sale;flat;23;24;5;415.0;150000000;1998;-1;-1;-1;-1;300 м²;74 м²;+79647823389;Щукино; Маршала Бирюзова;32К1;Октябрьское поле;Две башни
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/302833905/;Москва;sale;flat;66;66;5;588.1;1058580000;2020;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951370624;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Стадион Спартак;developer;https://www.cian.ru/sale/flat/303364597/;Москва;sale;flat;13;13;5;180.2;129437660;2025;-1;Монолитный;-1;Без отделки;80,1 м²;9 м²;+74951387190;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308345829/;Москва;sale;flat;1;7;5;398.1;170000000;2005;-1;-1;-1;-1;-1;20 м²;+79165685817;Крылатское;Крылатская ;45К3;Крылатское;Долина грез
MC REALTY;real_estate_agent;https://www.cian.ru/sale/flat/308056364/;Москва;sale;flat;57;75;5;304.0;260000000;2010;-1;-1;-1;-1;140 м²;90 м²;+79645648248;Пресненский;набережная Пресненская;8с1;Деловой центр;Город Столиц
